please enter the dates in mm/dd format,fall start,fall end,spring start,spring end
University Of North Dakota,8/24/2015,12/18/2015,1/11/2016,5/13/2016
University Of North Florida,8/24/2015,12/11/2015,1/6/2016,4/29/2016
University Of North Texas,8/24/2015,12/11/2015,1/18/2016,5/13/2016
University Of Northern Colorado,8/18/2015,12/13/2015,1/11/2016,5/8/2016
University Of Northern Iowa,8/21/2015,12/19/2015,1/8/2016,5/7/2016
University Of Northwestern Ohio,8/10/2015,12/23/2015,,
University Of Notre Dame,8/17/2015,12/18/2015,1/10/2016,5/6/2016
University Of Oklahoma,8/24/2015,12/11/2015,1/19/2016,5/6/2016
University Of Oregon,9/28/2015,12/15/2015,3/14/2016,6/14/2016
University Of Phoenix-Phoenix,8/22/2015,12/18/2015,,
University Of Pittsburgh,7/8/2015,12/19/2015,1/6/2016,4/30/2016
University Of Portland,8/31/2015,12/22/2015,1/11/2016,5/3/2016
University Of Puget Sound,8/31/2015,1/4/2015,1/19/2016,5/14/2016
University Of Redlands,9/2/2015,12/23/2015,1/10/2016,4/27/2016
University Of Rhode Island,8/15/2015,12/31/2015,12/31/2015,5/18/2016
University Of Richmond,8/24/2015,12/15/2015,1/11/2016,4/30/2016
University Of Rio Grande,8/24/2015,12/12/2015,,
University Of Saint Francis,8/24/2015,12/19/2015,1/14/2016,5/14/2016
University Of San Diego,8/25/2015,12/22/2015,2/1/2016,5/24/2016
University Of San Francisco,8/20/2015,12/18/2015,1/22/2016,5/26/2016
University Of Sci/Arts Of Oklahoma,8/20/2015,12/8/2015,,
University Of Scranton,8/20/2015,12/15/2015,,
University Of Sioux Falls,8/29/2015,12/16/2015,2/3/2016,5/20/2016
University Of So Maine-Portland,8/28/2015,12/21/2015,1/19/2016,5/14/2016
University Of South Alabama,8/18/2015,12/12/2015,1/11/2016,5/7/2016
University Of South Carolina,8/16/2015,12/12/2015,1/11/2016,5/7/2016
University Of South Carolina - Aiken,8/17/2015,12/16/2015,1/7/2016,5/13/2016
University Of South Carolina - Spartanburg,8/13/2015,12/17/2015,,
University Of South Dakota,8/24/2015,12/21/2015,1/11/2016,5/11/2016
University Of South Florida,8/24/2015,12/18/2015,1/11/2016,5/13/2016
University Of Southern California,8/17/2015,12/16/2015,1/7/2016,5/13/2016
University Of Southern Indiana,8/19/2015,12/16/2015,1/7/2016,5/4/2016
University Of Southern Mississippi,8/19/2015,12/4/2015,1/19/2016,5/6/2016
University Of St Francis,8/24/2015,12/19/2015,1/14/2016,5/14/2016
University Of St Thomas,9/9/2015,12/22/2015,2/1/2016,5/21/2016
University Of Tampa,8/31/2015,12/19/2015,1/19/2016,5/7/2016
University Of Tennessee,8/19/2015,12/11/2015,1/13/2016,5/14/2016
University Of Tennessee,8/19/2015,12/11/2015,1/13/2016,5/14/2016
"University Of Tennessee, Martin",8/24/2015,12/12/2015,1/14/2016,5/7/2016
University Of Texas,8/21/2015,12/19/2015,1/7/2016,5/22/2016
University Of Texas Dallas,8/24/2015,12/18/2015,1/11/2016,5/10/2016
University Of Texas - Brownsvillestc,8/19/2015,12/12/2015,1/13/2016,5/14/2016
University Of Texas - Pan American,8/24/2015,12/16/2015,1/19/2016,5/18/2016
University Of Texas At Austin,8/21/2015,12/19/2015,1/7/2016,5/22/2016
University Of Texas At Tyler,8/17/2015,12/12/2015,1/19/2016,5/7/2016
"University Of Texas, El Paso",8/24/2015,12/21/2015,1/4/2016,5/19/2016
University Of Texas-Arlington,8/27/2015,12/19/2015,1/19/2016,5/10/2016
University Of The Cumberlands,8/26/2015,12/12/2015,1/11/2016,5/7/2016
University Of The Incarnate Word,8/17/2015,12/11/2015,1/11/2016,5/31/2016
University Of The Pacific,8/24/2015,12/11/2015,1/19/2016,5/14/2016
University Of Toledo,8/24/2015,12/18/2015,1/11/2016,5/8/2016
University Of Tulsa,8/24/2015,12/19/2015,1/11/2016,5/7/2016
University Of Utah,8/24/2015,12/10/2015,1/11/2016,4/26/2016
University Of Vermont,8/24/2015,12/18/2015,1/19/2016,5/14/2016
University Of Virginia,8/22/2015,12/30/2015,1/20/2016,5/22/2016
University Of Washington-Seattle,9/30/2015,12/18/2015,3/28/2016,6/10/2016
University Of West Alabama,8/11/2015,12/12/2015,1/7/2016,5/9/2016
University Of West Florida,8/24/2015,12/12/2015,1/5/2016,4/30/2016
University Of West Georgia,8/12/2015,12/12/2015,1/6/2016,5/7/2016
University Of Wisconsin - Green Bay,8/24/2015,12/1/2015,1/13/2016,5/2/2016
University Of Wisconsin - Oshkosh,9/8/2015,12/19/2015,1/29/2016,5/14/2016
University Of Wisconsin - Parkside,8/24/2015,12/29/2015,1/18/2016,5/22/2016
University Of Wisconsin-Madison,8/24/2015,12/29/2015,1/18/2016,5/22/2016
University Of Wisconsin-Milwaukee,8/24/2015,12/19/2015,1/8/2016,5/22/2016
University Of Wisconsin-Stout,8/24/2015,1/7/2016,1/8/2015,5/22/2015
University Of Wyoming,,,,
Upper Iowa University,8/24/2015,10/18/2015,1/4/2016,2/28/2016
Urbana University,8/22/2015,12/13/2015,1/9/2016,5/9/2016
Ursinus College,8/27/2015,12/19/2015,1/17/2016,5/13/2016
Ursuline College,8/17/2015,1/3/2016,1/10/2016,5/15/2016
Us Air Force Academy,8/1/2015,12/18/2015,1/6/2016,4/20/2016
Utah State University,8/31/2015,12/18/2015,1/11/2016,5/7/2016
Utah Valley State College,8/17/2015,12/17/2015,1/4/2016,4/29/2016
Utica College,8/31/2015,12/31/2015,1/18/2016,5/8/2016
Valley Forge Christian College,8/23/2015,11/29/2015,,
Valley Forge Military College,,,,
Valley Medical College,8/30/2015,12/25/2015,1/18/2016,5/30/2016
Vance-Granville Community College,8/22/2015,12/20/2015,1/7/2016,5/15/2016
Vermilion Community College,8/21/2015,12/25/2015,1/9/2016,5/10/2016
Vernon College-Vernon,,,,
Virginia College-Austin,8/31/2015,11/24/2015,1/11/2016,5/1/2016
Virginia College-Birmingham,8/31/2015,11/24/2015,1/11/2016,5/1/2016
Virginia College-Huntsville,8/31/2015,11/24/2015,1/11/2016,5/1/2016
